date,symbol,name,currency,price,eps,pe_now,pe_mean,pe_median,pe_std,pe_sigma,price_low,price_fair,price_high,group,forward_pe,pb,pcf,peg,dividend_yield,ev_ebitda,wk52_low,wk52_high,wk52_pos,iv,iv_days,iv_expiry,iv_status,iv_rank,ivr_days
2026-09-04,INTC,Intel Corporation,USD,91.67,-2.09,,,,,,,,,無法判讀,44.9334,5.2808,32.4436,1.36,,29.134,23.75,142.35,57.2681,0.5708,29.0,2026-10-02,ok,25.3129,2
2026-09-04,ISRG,"Intuitive Surgical, Inc.",USD,369.83,8.7,42.5092,46.2558,46.3293,3.6689,-1.0212,370.5065,402.4257,434.3448,顯著低估,30.6383,7.2038,35.7495,1.61,,30.207,328.57,603.88,14.9867,0.3543,29.0,2026-10-02,ok,43.5345,2
2026-09-04,LITE,Lumentum Holdings Inc.,USD,847.37,-92.98,,,,,,,,,無法判讀,25.4456,16.1669,101.1566,0.63,,96.196,133.91,1085.68,74.9614,0.6722,29.0,2026-10-02,ok,0.0,2
2026-09-04,META,"Meta Platforms, Inc.",USD,610.68,26.56,22.9925,22.5317,22.4552,1.2055,0.3822,566.4229,598.4421,630.4613,高估~均值,17.4681,5.9567,10.3347,0.77,0.35,13.974,520.26,790.8,33.422,0.3598,29.0,2026-10-02,ok,39.1427,2
2026-09-04,MRVL,"Marvell Technology, Inc.",USD,208.83,3.01,69.3787,73.776,71.1478,14.1651,-0.3104,179.4289,222.0658,264.7027,均值~低估,31.0951,10.038,83.2289,1.12,0.12,63.999,61.44,329.88,54.9061,0.5632,29.0,2026-10-02,ok,20.4501,2
2026-09-04,MSFT,Microsoft Corporation,USD,510.12,17.94,28.4348,23.8457,23.0881,2.5391,1.8074,382.2403,427.7916,473.3428,顯著高估,21.6398,8.5641,20.7064,1.63,0.73,19.261,349.2,553.72,78.6818,0.2553,29.0,2026-10-02,ok,25.4792,2
2026-09-04,MU,"Micron Technology, Inc.",USD,958.16,44.27,21.6436,20.3477,21.0799,3.3592,0.3858,752.0832,900.7938,1049.5044,高估~均值,6.1807,10.7399,21.0402,0.14,0.06,15.54,118.52,1255.0,73.8808,0.6202,29.0,2026-10-02,ok,25.8367,2
2026-09-04,NBIS,Nebius Group N.V.,USD,210.63,-0.06,,,,,,,,,無法判讀,-70.2686,5.5837,9.5501,0.48,,225.175,63.26,299.86,62.2866,0.7804,29.0,2026-10-02,ok,11.9121,2
2026-09-04,NFLX,"Netflix, Inc.",USD,82.67,3.18,25.9969,25.014,25.0676,2.1103,0.4657,72.834,79.5447,86.2554,高估~均值,21.6362,11.4169,28.756,1.49,,23.902,65.08,126.71,28.5413,0.318,29.0,2026-10-02,ok,23.5355,2
2026-09-04,NOW,"ServiceNow, Inc.",USD,145.59,1.6,90.9937,68.326,66.2063,9.5032,2.3853,94.1164,109.3216,124.5267,顯著高估,29.0859,12.0263,28.3572,1.03,,50.1,81.24,194.726,56.703,0.5286,29.0,2026-10-02,ok,48.3206,2
2026-09-04,NVDA,NVIDIA Corporation,USD,228.45,7.9,28.9177,26.6958,26.7494,1.2751,1.7425,200.8239,210.8971,220.9704,顯著高估,14.8531,24.0905,41.0567,0.56,0.45,26.754,164.07,236.54,88.8368,0.3378,29.0,2026-10-02,ok,9.682,3
2026-09-04,ORCL,Oracle Corporation,USD,154.04,5.83,26.422,28.0468,25.9854,5.3666,-0.3028,132.2257,163.5128,194.7999,均值~低估,14.0983,11.8129,13.8758,0.8,1.37,18.393,114.5,345.72,17.1006,0.6672,29.0,2026-10-02,ok,57.9505,2
